2,1.0777,1.0777
3,1.0791,1.0777
4,1.0797,1.0777
5,1.0801,1.0777
6,1.0804,1.0777
7,1.0806,1.0777
8,1.0807,1.0777
9,1.0808,1.0777
10,1.081,1.0777
11,1.081,1.0777
12,1.081,1.0777
13,1.081,1.0777
14,1.081,1.0777
15,1.081,1.0777
16,1.0811,1.0777
17,1.0811,1.0777
18,1.0811,1.0777
19,1.0812,1.0777
20,1.0812,1.0777
21,1.0812,1.0777
22,1.0812,1.0777
23,1.0812,1.0777
24,1.0811,1.0777
25,1.0812,1.0777
26,1.0812,1.0777
27,1.0812,1.0777
28,1.0812,1.0777
29,1.0812,1.0777
30,1.0812,1.0777
31,1.0812,1.0777
32,1.0812,1.0777
33,1.0811,1.0777
34,1.0811,1.0777
35,1.0811,1.0777
36,1.0811,1.0777
37,1.0811,1.0777
38,1.0811,1.0777
39,1.0811,1.0777
40,1.0811,1.0777
41,1.0811,1.0777
42,1.081,1.0777
43,1.081,1.0777
44,1.081,1.0777
45,1.081,1.0777
46,1.081,1.0777
47,1.081,1.0777
48,1.081,1.0777
49,1.081,1.0777
50,1.081,1.0777
51,1.0812,1.0777
52,1.0814,1.0777
53,1.0815,1.0777
54,1.0816,1.0777
55,1.0815,1.0777
56,1.081,1.0777
57,1.0809,1.0777
58,1.0809,1.0777
59,1.0809,1.0777
60,1.0809,1.0777
61,1.0808,1.0777
62,1.0809,1.0777
63,1.0809,1.0777
64,1.0808,1.0777
65,1.0808,1.0777
66,1.0808,1.0777
67,1.0808,1.0777
68,1.0807,1.0777
69,1.0807,1.0777
70,1.0806,1.0777
71,1.0806,1.0777
72,1.0806,1.0777
73,1.0805,1.0777
74,1.0805,1.0777
75,1.0805,1.0777
76,1.0805,1.0777
77,1.0805,1.0777
78,1.0805,1.0777
79,1.0804,1.0777
80,1.0804,1.0777
81,1.0804,1.0777
82,1.0803,1.0777
83,1.0803,1.0777
84,1.0803,1.0777
85,1.0802,1.0777
86,1.0802,1.0777
87,1.0801,1.0777
88,1.0801,1.0777
89,1.08,1.0777
90,1.08,1.0777
91,1.08,1.0777
92,1.08,1.0777
93,1.08,1.0777
94,1.0799,1.0777
95,1.0799,1.0777
96,1.0799,1.0777
97,1.0798,1.0777
98,1.0797,1.0777
99,1.0797,1.0777
100,1.0797,1.0777
